latitude,longitude,frp,brightness_k,confidence,nearest_facility,distance_km,classification,severity
8.22174,81.02438,7.89,339.9,n,None,1442.51,Agricultural / Stubble Burning,MODERATE
8.22999,80.67237,9.52,341.78,n,None,1443.09,Agricultural / Stubble Burning,MODERATE
8.23185,80.67056,9.01,339.54,n,None,1442.89,Agricultural / Stubble Burning,MODERATE
8.24239,80.55995,9.17,351.1,n,None,1442.39,Agricultural / Stubble Burning,MODERATE
8.31679,80.25421,6.52,332.65,n,None,1436.52,Agricultural / Stubble Burning,MODERATE
8.31783,80.31797,3.64,338.65,n,None,1435.85,Agricultural / Stubble Burning,MODERATE
8.3213,80.2504,4.77,332.07,n,None,1436.05,Agricultural / Stubble Burning,MODERATE
8.32473,81.02138,8.15,341.73,n,None,1431.07,Agricultural / Stubble Burning,MODERATE
8.32823,80.23088,5.46,342.45,n,None,1435.46,Agricultural / Stubble Burning,MODERATE
8.32876,80.23387,7.23,339.45,n,None,1435.38,Agricultural / Stubble Burning,MODERATE
8.36492,80.20286,2.81,331.59,n,None,1431.66,Agricultural / Stubble Burning,MODERATE
8.38192,80.41776,3.18,331.62,n,None,1427.93,Agricultural / Stubble Burning,MODERATE
8.38243,80.42065,3.18,338.16,n,None,1427.85,Agricultural / Stubble Burning,MODERATE
8.40434,80.71754,8.35,340.95,n,None,1423.47,Agricultural / Stubble Burning,MODERATE
8.41959,80.30999,3.31,332.9,n,None,1424.63,Agricultural / Stubble Burning,MODERATE
8.42012,80.31292,4.12,330.4,n,None,1424.55,Agricultural / Stubble Burning,MODERATE
8.42402,80.53297,8.83,331.06,n,None,1422.42,Agricultural / Stubble Burning,MODERATE
8.46777,81.13238,8.26,340.6,n,None,1414.9,Agricultural / Stubble Burning,MODERATE
8.48778,80.46198,5.09,343.36,n,None,1415.85,Agricultural / Stubble Burning,MODERATE
8.49171,80.13688,4.54,330.79,n,None,1418.26,Agricultural / Stubble Burning,MODERATE
8.4992,80.86546,12.46,341.78,n,None,1412.23,Agricultural / Stubble Burning,MODERATE
8.50053,80.86825,13.46,342.17,n,None,1412.07,Agricultural / Stubble Burning,MODERATE
